PrimaryId,Company,Team_Leader_Id,Emp_Id,Employee Name,Designation,DesignationGroup,Department,Zone,Client Id,ClientEmp_Id,Client_Name,Client Type,Client Type Group,Client_Type1,State,City,Source_Id,SourceEmp_Id,SourceName,SourceCode,SourceType,SourceTypeGroup,CustomSourceId,Order_Id,Product_Id,Variant_Id,OrderDate,Order Amount,Remaining Amount,QuotationID,DiscountType,OrderSystemDate,Product Name,ProductDivision,Variant_Name,Unit Price,MRP,ProductGST,Category Type,Total Discount,Order Products Date,Product_Category,Product_Code,Sale Price
123422,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45733.6889049421,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
244148,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45734.5085240394,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
321710,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45734.6794542014,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
388023,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45734.7999868056,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
427280,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45736.489987581,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
487889,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45740.7084454514,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
619170,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45742.6493364931,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
637565,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45747.6079601505,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
742473,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45754.5812766551,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
788174,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45758.6515428241,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
